哎,āi,hey
何况,hé kuàng,much less; let alone
合理,hé lǐ,rational; reasonable; equitable
和平,hé píng,peace; mild
合同,hé tong,agreement; contract
核心,hé xīn,core; kernel; heart
合影,hé yǐng,group photo
合作,hé zuò,cooperate; collaborate; work together
恨,hèn,hate; regret
后背,hòu bèi,back
后果,hòu guǒ,consequence; aftermath
猴子,hóu zi,monkey
壶,hú,kettle; pot; flask
蝴蝶,hú dié,butterfly
忽然,hū rán,suddenly
忽视,hū shì,ignore; look down upon; overlook
胡说,hú shuō,nonsense; rubbish; drivel
胡同,hú tòng,alleyway; lane
糊涂,hú tu,muddled; confused; bewildered
呼吸,hū xī,to breathe; respire
滑,huá,slippery
划,huà,to assign
花生,huā shēng,peanut
话题,huà tí,subject of a talk; topic of conversation
化学,huà xué,chemistry
华裔,huá yì,foreign citizen of Chinese origin
怀念,huái niàn,cherish the memory of; remember fondly
怀孕,huái yùn,be pregnant; conceive
缓解,huǎn jiě,relieve; ease
幻想,huàn xiǎng,illusion; fantasy; figment of one's imagination
黄金,huáng jīn,gold
慌张,huāng zhāng,flustered; confused; trepidation
挥,huī,wave; wield; wipe off
灰,huī,grey; ash; dust
灰尘,huī chén,dust; dirt; ash
恢复,huī fù,resume; renew; to recover
汇率,huì lǜ,exchange rate
灰心,huī xīn,to lose heart; to be discouraged; be disappointed
婚礼,hūn lǐ,wedding
婚姻,hūn yīn,marriage; matrimony
伙伴,huǒ bàn,partner; companion; colleague
火柴,huǒ chái,match
或许,huò xǔ,perhaps; maybe
活跃,huó yuè,brisk; dynamic; lively
基本,jī běn,basic; fundamental
及格,jí gé,"pass (a test, examination etc)"
集合,jí hé,to gather
激烈,jī liè,intense; sharp; fierce
系领带,jì lǐng dài,tie a (neck)tie
纪录,jì lù,to record
记录,jì lù,take notes; keep the minutes
纪律,jì lǜ,discipline
急忙,jí máng,in a hurry; in haste
寂寞,jì mò,lonely; lonesome
纪念,jì niàn,commemorate
机器,jī qì,machine; engine; apparatus
极其,jí qí,extremely
肌肉,jī ròu,muscle
计算,jì suàn,count; compute; calculate
集体,jí tǐ,collective; community; group
记忆,jì yì,recall; memory; storage
急诊,jí zhěn,emergency call
集中,jí zhōng,to concentrate; focus; pay attention
甲,jiǎ,shell; nail; first; the first of the ten Heavenly Stems
嫁,jià,marry; shift; transfer
嘉宾,jiā bīn,honoured guest
假如,jiǎ rú,if; supposing; in case
假设,jiǎ shè,suppose; assume; presume
驾驶,jià shǐ,drive; pilot; steer
家庭,jiā tíng,family; household
家务,jiā wù,house work
家乡,jiā xiāng,home town;native place
价值,jià zhí,value; cost; worth
假装,jiǎ zhuāng,to pretend; feign
夹子,jiā zi,folder; tongs; clamp; clip
捡,jiǎn,to pick up; collect; to gather
肩膀,jiān bǎng,shoulder
剪刀,jiǎn dāo,scissors; shears
艰巨,jiān jù,arduous; formidable; onerous
坚决,jiān jué,firm; resolute; determined
艰苦,jiān kǔ,arduous; difficult; tough
简历,jiǎn lì,Curriculum Vitae (CV); résumé
建立,jiàn lì,build; set up; establish
键盘,jiàn pán,keyboard
坚强,jiān qiáng,strong; firm; staunch
建设,jiàn shè,to build; to construct; develop
健身,jiàn shēn,keep fit
兼职,jiān zhí,hold two or more posts concurrently; part-time job
简直,jiǎn zhí,simply
建筑,jiàn zhù,build; construct; erect
讲究,jiǎng jiu,be particular about; to pay attention to
酱油,jiàng yóu,soy sauce
讲座,jiǎng zuò,series of lectures
浇,jiāo,sprinkle water on; irrigate; to water
教材,jiào cái,teaching material
角度,jiǎo dù,angle; point of view
狡猾,jiǎo huá,sly; crafty; cunning
交换,jiāo huàn,swap; to exchange
交际,jiāo jì,communication; social intercourse
教练,jiào liàn,train; drill; (sports) coach
胶水,jiāo shuǐ,glue
交往,jiāo wǎng,be in contact with; associate with
教训,jiào xun,lesson; moral
届,jiè,"fall due; [measure word for meetings, events, etc.]"
戒,jiè,to give up or stop doing something
接触,jiē chù,come into contact with; to get in touch with; engage
接待,jiē dài,to receive (visitor); admit
阶段,jiē duàn,section; stage; phase
结构,jié gòu,structure; composition; construction
结合,jié hé,to combine; unite; integrate
接近,jiē jìn,be close to; to approach
借口,jiè kǒu,use as an excuse; on the pretext of
结论,jié lùn,conclusion; verdict; epilogue
节省,jié shěng,to economise; save; use sparingly
结实,jiē shi,solid; sturdy; durable
结账,jié zhàng,to pay the bill
戒指,jiè zhi,ring [jewellry]
进步,jìn bù,progress
近代,jìn dài,modern times
紧急,jǐn jí,urgent; pressing
进口,jìn kǒu,import; entrance; sail into a port
尽快,jǐn kuài,as quickly  as possible
尽力,jìn lì,to do all one can; try one's best
尽量,jìn liàng,to the best of one's ability; as far as possible
谨慎,jǐn shèn,prudent; careful; cautious
金属,jīn shǔ,metal
经典,jīng diǎn,classics
精力,jīng lì,energy; vigour; vim
经商,jīng shāng,engage in trade; be in business
精神,jīng shén,essence; spirit
经营,jīng yíng,manage; to operate; to run
救,jiù,to rescue; save
酒吧,jiǔ bā,bar 
救护车,jiù hù chē,ambulance
舅舅,jiù jiu,uncle [mother's brother]
具备,jù bèi,possess; have; be provided with
巨大,jù dà,huge; enormous; gigantic
俱乐部,jù lè bù,club
居然,jū rán,unexpectedly; to one's surprise
据说,jù shuō,it is said; they say; allegedly
具体,jù tǐ,concrete; specific; particular
桔子,jú zi,tangerine
捐,juān,relinquish; contribute; donate
绝对,jué duì,absolutely; perfectly
决赛,jué sài,finals [of a competition]
角色,jué sè,role; part
决心,jué xīn,determination; resolution
军事,jūn shì,military affairs
均匀,jūn yún,even; well-distributed; equality
卡车,kǎ chē,lorry; truck
开发,kāi fā,develop; open up; exploit
开放,kāi fàng,lift a restriction; open up (to the outside world/ public etc.)
开幕式,kāi mù shì,inauguration; opening ceremony
开水,kāi shuǐ,boiling water
砍,kǎn,cut; chop; hack
看不起,kàn bu qǐ,look down upon; scorn; disdain
看望,kàn wàng,call on; visit
靠,kào,lean on
颗,kē,grain; [measure word for anything small and roundish]
克,kè,gram
课程,kè chéng,curriculum; course
